idx,class,conversation
3950,일상 대화,오늘 점심에 뭐 먹을지 벌써 고민되는데 추천 좀 해줄래?\n글쎄 어제는 중식 먹었으니까 오늘은 좀 깔끔한 일식 어때?\n오 일식 좋지 근처에 새로 생긴 초밥집 있다던데 가볼까?\n거기 나도 들어봤어 점심 특선 구성이 되게 알차다고 하더라\n맞아 우동이랑 튀김도 같이 나와서 배부르게 먹을 수 있대\n그럼 지금 바로 출발하자 조금만 늦어도 웨이팅 길어지니까\n그래 내가 가서 먼저 자리 있는지 확인해볼 테니까 천천히 와\n고마워 너는 못 먹는 생선이나 알러지 같은 거 따로 없지?\n응 나는 다 잘 먹어 특히 연어 초밥이면 아주 환장하거든\n나이스 그럼 우리 연어 포함된 세트로 두 개 시키면 되겠다\n좋아 빨리 가서 시원한 차 마시면서 맛있는 초밥 먹자
3951,일상 대화,너 어제 새로 생긴 마라탕집 가봤어? 국물이 진짜 진하다던데\n응 퇴근하고 갔는데 단계 조절도 세밀하고 재료도 신선하더라\n나도 마라 수혈할 때 됐는데 오늘 저녁에 같이 가줄 수 있어?\n좋지 나는 어제 먹었어도 마라탕은 매일 먹을 수 있거든\n너는 보통 몇 단계로 먹어? 나는 너무 매우면 속 쓰리더라고\n나는 딱 2단계가 적당한 것 같아 신라면보다 조금 더 매운 정도?\n오 그럼 나도 2단계로 도전해봐야겠다 꿔바로우도 시킬 거지?\n당연하지 마라탕만 먹으면 섭섭하니까 작은 사이즈로 하나 하자\n분모자랑 푸주도 듬뿍 넣어야 해 내가 좋아하는 재료 다 넣을 거야\n그래 벌써 침 고인다 퇴근하고 역 앞에서 만나서 바로 가자\n좋아 내가 6시 반까지 역 앞으로 갈 테니까 늦지 마
3952,일상 대화,오늘 저녁에 삼겹살에 소주 한잔 어때? 갑자기 기름진 게 땡기네\n삼겹살 좋지 근데 우리 요즘 너무 고기만 먹는 거 아니야?\n에이 기운 없을 때는 단백질 보충이 최고라고 하잖아\n하긴 그렇네 그럼 저번에 갔던 그 구워주는 집으로 갈까?\n맞아 거기 명이나물이랑 같이 먹으면 진짜 끝내주게 맛있어\n나도 거기 된장찌개 맛이 계속 생각나서 가고 싶긴 했어\n거기 웨이팅 있을 수도 있으니까 내가 미리 가서 번호표 뽑을게\n그래 주차는 식당 앞에 하면 된대니까 차 가지고 갈게\n운전해야 하니까 너는 술 마시면 안 되겠다 아쉽네\n나는 대리 부르면 되니까 걱정 말고 너도 시원하게 한잔해\n오케이 그럼 이따 퇴근하고 든든하게 먹으면서 스트레스 풀자
3953,일상 대화,너 혹시 못 먹는 음식 있어? 이번 회식 메뉴 정해야 하거든\n나 오이 들어간 건 다 못 먹어 그거 빼고는 다 괜찮아\n오이는 호불호가 갈리지 그럼 횟집은 어때? 밑반찬 잘 나오는데\n회는 좋지 근데 소수 인원이면 모르겠는데 회식으론 좀 비싸지 않아?\n예산이 이번에 좀 넉넉하게 나와서 법인카드로 긁으면 돼\n대박이다 그럼 우리 고급 일식 코스 요리 같은 거 먹는 거야?\n아마 그럴걸? 부장님도 회 좋아하셔서 이미 거의 확정인 것 같아\n나이스 그럼 나 오늘 점심은 좀 가볍게 먹고 저녁을 노려야겠다\n나도 그래 맛있는 거 많이 먹으려면 배를 좀 비워둬야지\n술은 사케나 화이트 와인 같은 거 시켜달라고 졸라보자\n좋아 이번 회식은 진짜 기대된다 맛있는 거 잔뜩 먹고 오자
3954,일상 대화,야 진짜 맛있는 디저트 카페 찾았어 케이크가 진짜 예술이야\n어디인데? 나 요즘 업무 때문에 당 떨어져서 달달한 거 필요해\n역 근처에 있는 곳인데 딸기 생크림 케이크가 입에서 살살 녹아\n사진으로 본 적 있는 것 같아 거기 평일에도 사람 많다던데\n응 어제 갔을 때도 겨우 한 자리 남아서 겨우 앉았거든\n대박 내일 수업 끝나고 오후에 가면 자리가 좀 있으려나?\n아마 그 시간대면 괜찮을 거야 포장해오는 것도 방법이지\n그래도 카페 분위기 좋으면 직접 가서 커피랑 같이 먹고 싶어\n거기 라떼도 고소하고 맛있으니까 세트로 꼭 먹어봐\n알겠어 내일 친구 한 명 더 데리고 가서 종류별로 시켜야지\n좋은 생각이다 나중에 먹고 나서 어떤 맛이었는지 알려줘
3955,일상 대화,점심에 간단하게 편의점 도시락 먹을까? 나가기 귀찮다\n도시락도 좋고 아니면 삼각김밥에 컵라면 조합은 어때?\n그거 좋지 나는 불닭볶음면에 참치마요 삼각김밥 먹을래\n역시 꿀조합을 아는구나 나는 사리곰탕면에 볶음김치 도시락\n와 그것도 맛있겠다 편의점 털어서 우리 휴게실에서 먹자\n응 편의점 1+1 행사하는 음료수도 있으면 같이 사 오자\n나 오늘 통신사 할인 카드 챙겨왔으니까 그걸로 결제하면 돼\n오 센스 대박 그럼 내가 대신 후식으로 아이스크림 쏠게\n좋아 그럼 지금 바로 1층으로 내려가서 골라보자\n그래 점심시간 아껴서 밥 먹고 잠깐 눈 좀 붙여야겠다\n나도 그래 요새 잠이 너무 부족해서 낮잠이 간절해
3956,일상 대화,이번 주말에 우리 집에서 홈파티 하는데 뭐 해 먹는 게 좋을까?\n홈파티면 역시 비주얼 좋은 감바스나 파스타가 무난하지 않아?\n근데 내가 요리 솜씨가 별로 없어서 망칠까 봐 걱정이야\n요즘 밀키트 진짜 잘 나와서 설명서대로만 하면 실패 안 해\n오 그럼 스테이크랑 크림 파스타 밀키트로 주문해볼까?\n좋지 와인도 한 병 사두면 분위기 내기 딱 좋을 거야\n안 그래도 화이트 와인 하나 추천받았는데 같이 먹어야겠다\n디저트는 어떡해? 케이크라도 하나 미리 예약해둘까?\n응 근처 베이커리에서 딸기 케이크 미리 결제해놨어\n완벽하다 너네 친구들 진짜 좋아하겠는데 준비성 대박이다\n그치? 얼른 주말 돼서 맛있는 거 먹으면서 수다 떨고 싶어
3957,일상 대화,아침부터 계속 배고프네 너 오늘 아침 안 먹고 나왔어?\n응 늦잠 자서 사과 한 쪽도 못 먹고 부랴부랴 출근했어\n저런 점심은 좀 든든하게 국밥이나 갈비탕 같은 거 먹으러 가자\n그래 나 진짜 배고파서 쓰러질 것 같아 밥 두 공기 먹을래\n근처에 진짜 진한 순대국집 있는데 거기 가볼래?\n오 좋아 나 거기 들깨가루 팍팍 넣어서 먹는 거 좋아해\n맞아 거기 깍두기도 맛있어서 국밥이랑 같이 먹으면 환상이지\n벌써 입에 침 고인다 지금 11시 반인데 조금 일찍 나갈까?\n그래 부장님 눈치 좀 보다가 슬쩍 먼저 나가보자\n나이스 내가 가방 챙길 테니까 너는 엘리베이터 잡아줘\n오케이 오늘 점심은 진짜 배 터지게 먹어보자
3958,일상 대화,얘들아 오늘 점심은 날씨도 더운데 냉면 먹으러 갈까?\n좋지! 나 어제 술 마셔서 시원한 국물로 해장하고 싶었어\n나는 물냉면보다 매콤한 비빔냉면이 더 땡기는데 어때?\n각자 취향대로 시키고 갈비 만두 한 판 추가해서 나눠 먹자\n오 역시 먹을 줄 아네 냉면에는 만두가 무조건 세트지\n거기 온육수도 셀프로 가져다 마실 수 있어서 좋아\n맞아 그 육수가 진짜 진국이라 세 번은 리필하게 되더라\n나 벌써 입에 침 고여 우리 회사 앞에서 택시 타고 갈까?\n걷기엔 너무 더우니까 그게 낫겠다 내가 카카오택시 부를게\n그래 그럼 식당 앞에서 만나서 시원한 자리로 골라앉자\n오케이 다들 준비하고 5분 뒤에 로비에서 모이는 거다
3959,일상 대화,오늘 저녁에 우리 셋이서 오랜만에 고기나 구워 먹을까?\n삼겹살 좋지! 내가 아는 단골집 있는데 거기 가볼래?\n거기 혹시 미나리 같이 구워주는 그 집 말하는 거야?\n응 맞아 미나리 향이 고기 잡내 다 잡아줘서 진짜 맛있어\n와 대박 나 미나리 완전 좋아하는데 벌써부터 설렌다\n밑반찬으로 나오는 파절이도 양념이 진짜 예술이거든\n나는 거기 된장찌개에 밥 말아 먹는 게 그렇게 좋더라\n인정 고기 다 먹고 볶음밥도 잊지 말고 꼭 볶아야 해\n당연하지 우리 셋이면 고기 5인분은 거뜬히 먹을 수 있지?\n에이 5인분이 뭐야 인당 2인분씩은 먹어야 배가 차지\n좋아 내가 오늘 배 터지게 쏠 테니까 다들 허리띠 풀고 와
